RowNames	CCIS00146684ST.4.0	CCIS00281083ST.3.0	CCIS02124300ST.4.0	CCIS02379307ST.4.0	CCIS02856720ST.4.0	CCIS03473770ST.4.0	CCIS03857607ST.4.0	CCIS05314658ST.4.0	CCIS06260551ST.3.0	CCIS07277498ST.4.0	CCIS07539127ST.4.0	CCIS07648107ST.4.0	CCIS08668806ST.3.0	CCIS09568613ST.4.0	CCIS10706551ST.3.0	CCIS10793554ST.4.0	CCIS11015875ST.4.0	CCIS11019776ST.4.0	CCIS11354283ST.4.0	CCIS11362406ST.4.0	CCIS11558985ST.4.0	CCIS12370844ST.4.0	CCIS12656533ST.4.0	CCIS13047523ST.4.0	CCIS14449628ST.4.0	CCIS15704761ST.4.0	CCIS15794887ST.4.0	CCIS16326685ST.4.0	CCIS16383318ST.4.0	CCIS16561622ST.4.0	CCIS17669415ST.4.0	CCIS19142497ST.3.0	CCIS20795251ST.4.0	CCIS21126322ST.4.0	CCIS21278152ST.4.0	CCIS22275061ST.4.0	CCIS22416007ST.4.0	CCIS22906510ST.20.0	CCIS22958137ST.20.0	CCIS23164343ST.4.0	CCIS24254057ST.4.0	CCIS24898163ST.4.0	CCIS25399172ST.4.0	CCIS27304052ST.3.0	CCIS27927933ST.4.0	CCIS28384594ST.4.0	CCIS29210128ST.4.0	CCIS29688262ST.20.0	CCIS31434951ST.20.0	CCIS32105356ST.4.0	CCIS32452666ST.4.0	CCIS33816588ST.4.0	CCIS34055159ST.4.0	CCIS34604008ST.4.0	CCIS35092938ST.4.0	CCIS35100175ST.4.0	CCIS36699628ST.4.0	CCIS36797902ST.4.0	CCIS37250421ST.4.0	CCIS38765456ST.20.0	CCIS40244499ST.3.0	CCIS41222843ST.4.0	CCIS41288781ST.4.0	CCIS41548810ST.4.0	CCIS41692898ST.4.0	CCIS41806458ST.4.0	CCIS44093303ST.4.0	CCIS44676181ST.4.0	CCIS44743950ST.4.0	CCIS44757994ST.4.0	CCIS45571137ST.3.0	CCIS45793747ST.4.0	CCIS46047672ST.4.0	CCIS46467422ST.4.0	CCIS47284573ST.4.0	CCIS47745468ST.4.0	CCIS48174381ST.4.0	CCIS48507077ST.4.0	CCIS48579360ST.4.0	CCIS48725289ST.4.0	CCIS50003399ST.4.0	CCIS50148151ST.4.0	CCIS50369211ST.20.0	CCIS50471204ST.4.0	CCIS50561855ST.4.0	CCIS51595129ST.4.0	CCIS51667829ST.4.0	CCIS52234160ST.4.0	CCIS52370277ST.4.0	CCIS53043478ST.4.0	CCIS53355328ST.4.0	CCIS53557295ST.4.0	CCIS54027808ST.4.0	CCIS55230578ST.4.0	CCIS55531770ST.4.0	CCIS56503244ST.3.0	CCIS58234805ST.4.0	CCIS59132091ST.4.0	CCIS59903910ST.4.0	CCIS61287323ST.4.0	CCIS62605362ST.3.0	CCIS62794166ST.4.0	CCIS63448910ST.4.0	CCIS63468405ST.4.0	CCIS63910149ST.4.0	CCIS64773582ST.4.0	CCIS64785924ST.20.0	CCIS65479369ST.4.0	CCIS70398272ST.4.0	CCIS71301801ST.4.0	CCIS71578391ST.4.0	CCIS72607085ST.4.0	CCIS74239020ST.4.0	CCIS74726977ST.3.0	CCIS76563044ST.4.0	CCIS76845094ST.20.0	CCIS77100899ST.4.0	CCIS77252613ST.4.0	CCIS78100604ST.4.0	CCIS78318719ST.4.0	CCIS79210440ST.3.0	CCIS80834637ST.4.0	CCIS81139242ST.4.0	CCIS81710917ST.20.0	CCIS81735969ST.20.0	CCIS81887263ST.4.0	CCIS82146115ST.4.0	CCIS82507866ST.3.0	CCIS82944710ST.20.0	CCIS83445808ST.4.0	CCIS83574003ST.4.0	CCIS83870198ST.4.0	CCIS84543192ST.4.0	CCIS85214191ST.3.0	CCIS87116798ST.4.0	CCIS87167916ST.4.0	CCIS87252800ST.4.0	CCIS87290971ST.4.0	CCIS87605453ST.4.0	CCIS88007743ST.4.0	CCIS88317640ST.4.0	CCIS90164298ST.4.0	CCIS90166425ST.4.0	CCIS90443472ST.4.0	CCIS90903952ST.3.0	CCIS91228662ST.4.0	CCIS93040568ST.20.0	CCIS94417875ST.3.0	CCIS94496512ST.4.0	CCIS94603952ST.4.0	CCIS95097901ST.4.0	CCIS95409808ST.4.0	CCIS96387239ST.4.0	CCIS98482370ST.3.0	CCIS98512455ST.4.0	CCIS98832363ST.4.0
Bifidobacterium dentium	0	0	0	0	17046	31017	0	0	26525	0	6847	0	0	713	0	0	0	1705	0	2656	0	0	4792	0	0	159368	0	0	1921	0	21065	0	0	0	1707	0	0	8315	0	2494	32090	0	0	0	0	0	0	3169	0	5747	150013	0	10464	1032	0	39896	0	0	0	185085	0	0	137428	2984	0	15174	4012	0	0	8770	0	78191	0	0	3072	0	0	0	0	6392	9259	1291	0	0	0	0	4255	1234	145896	0	0	0	1848	17358	0	0	0	0	0	0	0	0	0	9840	0	346	0	0	26663	0	61275	0	0	4102	843	0	0	0	336	109090	0	0	0	151852	0	0	0	0	0	0	0	0	0	13250	0	0	12313	20470	0	4144	3954	29148	0	0	0	0	0	0	0	0	0	11508	0	0	0	1563
Clostridium celatum	0	0	0	0	12293	0	0	0	59672	0	0	0	0	0	0	0	0	0	0	0	103103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11925	0	0	0	0	0	0	6657	0	0	0	5116	124488	0	0	0	5718	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88422	0	0	0	0	0	10570	0	0	0	0	1045	0	0	0	0	0	0	0	0	470	0	0	0	0	0	0	0	0	0	0	22406	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rothia dentocariosa	0	0	0	0	10616	439	0	0	5452	0	0	0	0	0	0	0	0	8934	0	0	0	0	0	0	0	0	0	0	17460	0	3373	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1348	0	0	0	0	883	0	0	1419	0	0	0	131	0	0	0	0	0	0	2354	316	1159	0	0	0	0	0	0	0	5464	0	0	0	463	2686	0	0	0	0	0	0	0	0	0	0	10889	3454	0	0	0	12539	0	0	0	0	1678	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1146	0	1317	0	0	0	0	0	0	0	0	0	0	906	0	0	921	0	0	10963	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lactobacillus gasseri	0	0	0	0	6437	0	0	0	0	0	38909	0	0	0	0	0	0	0	0	81492	0	0	0	0	0	0	0	0	8496	0	18980	0	0	0	0	0	0	0	0	0	0	0	0	0	14925	0	0	0	0	0	0	0	29742	0	0	25187	0	0	0	0	20567	0	0	0	0	2043	0	0	0	0	0	0	0	0	0	0	6473	0	0	0	16393	0	0	0	0	0	0	0	0	0	7652	7156	0	0	0	0	0	0	0	0	0	0	0	12650	0	0	0	0	21375	0	0	0	0	0	0	120843	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9937	0	0	0	0	0	0	0	189734	0	0	38383	0	0	0	0	0	0	0
Streptococcus cristatus	0	0	0	0	4870	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	428	0	0	0	0	4506	0	5382	0	0	0	0	0	0	6487	0	0	0	0	0	0	0	0	0	10445	0	0	512	0	0	0	0	9817	0	0	0	0	3282	0	3059	0	0	0	0	0	0	0	0	7234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46994	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2873	0	0	0	0	1415	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hafnia alvei	0	0	0	0	3730	103186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1230370	0	0	0	61728	118958	51118	0	0	1463424	0	0	0	108248	91003	0	0	600	0	0	0	103338	0	0	0	773181	0	0	33496	0	0	0	0	0	5122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5699	985003	0	0	0	0	0	0	0	0	410695	10790	0	0	0	0	0	0	2336	238705	1333	40590	0	0	0	0	3660	0	0	0	0	0	0	0	0	0	0	0	641	23919	1141	0	0	278318	0	44834	0	0	0	0	341847	0	0	5083	0	778437	21763	0	0	0	0	0	0	5408	1381	0	11798	163992	0	0	0	0	0	247714	0	0	0	0	0	0	0	0
Granulicatella adiacens	0	0	0	0	2832	0	0	0	0	0	0	0	0	0	0	2831	0	0	0	0	0	0	0	0	0	0	0	0	0	0	959	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5929	0	0	0	0	0	0	0	0	452	0	0	1838	0	0	0	0	488	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	578	0	0	0	0	0	771	0	0	0	0	0	0	0	0	0	0	0	0	3138	0	0	0	0	2877	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1524	0
Streptococcus oralis	0	0	0	0	2729	29048	0	0	107337	0	30468	1239	0	0	0	22160	0	5915	249	49522	0	0	1949	3082	131555	1569	1286	0	4951	4469	115305	0	0	0	0	2159	0	15763	3716	0	9579	0	0	0	0	0	13131	82941	0	0	2984	0	34210	1394	0	442687	12873	0	0	17488	31154	4286	0	0	14206	17608	6337	5341	3419	0	0	75273	5235	0	0	0	0	9220	0	32177	108	9322	0	0	0	0	9066	0	0	0	0	0	30968	183100	0	0	0	78100	21914	64615	0	0	53006	4354	0	583	614	2241	533	0	0	0	2940	5130	0	1774139	0	8180	0	0	396	11274	6237	35080	13509	1863	16265	0	0	0	0	0	0	0	19167	0	26780	52513	333	21468	69233	1908	0	0	0	3434	0	0	0	2380	4280	0	0	0	0	9680
Murimonas intestini	0	0	0	0	2568	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	139	0	0	0	0	0	0	0	0	0	0	0	0	572679	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40830	0	0	0	0	0	0	0	0	0	2296	0	0	0	0	0	0	0	0	0	0	0	2526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Latilactobacillus sakei	0	0	0	0	1751	0	0	0	0	21480	0	0	0	0	0	0	0	0	3361	0	0	0	7438	6025	0	0	0	0	0	0	0	0	0	249771	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	472	0	0	0	0	2076	0	0	0	0	0	0	0	0	0	0	126629	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	343	0	2903	0	0	0	0	0	0	89479	0	0	0	0	0	0	0	0	0	0	0	0	0	6584	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27824	17907	0	3267	0	0	0	0	0	0	0	0	0	0	0	0
Parascardovia denticolens	0	0	0	0	1346	0	0	0	0	0	0	2743	0	0	0	0	0	0	0	4104	0	0	0	0	0	0	0	0	625	0	18266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinomyces sp. oral taxon 180	0	0	0	0	1023	0	0	0	0	0	0	1245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	301	0	0	0	0	0	0	0	0	0	0	1869	0	0	0	0	0	2319	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3757	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	387	0	0	0	0	0
Romboutsia ilealis	0	0	0	0	405	0	19378	0	4686	0	0	0	0	0	0	849	0	0	691	3173	0	0	9451	0	0	2549	4316	1291	0	8552	11400	0	0	4332	0	1149	0	0	0	7400	0	0	0	0	0	0	256	28649	1468	0	0	8474	0	0	2542	0	0	1378	0	5612	0	5252	0	0	668	0	0	0	0	0	1520	7107	0	0	688	0	0	0	0	5072	3120	0	0	0	0	534	3181	1234	0	1588	4463	0	206	5836	0	0	0	0	0	0	2051	0	34424	0	0	1503	0	0	0	0	8883	0	7924	2889	0	0	1002	788	0	0	0	1594	2043	0	0	7711	9134	0	1112	0	378	0	0	0	0	0	0	0	0	0	0	8924	0	3073	0	0	0	0	0	328	0	956	0	0	0	0
Eubacterium sp. CAG:274	0	0	0	0	0	1167935	372110	77344	0	0	540909	0	0	0	0	28708	0	0	0	155	0	0	0	0	0	0	0	0	0	0	397163	0	0	294270	0	1173897	0	250007	1052130	0	0	0	0	0	77547	0	381584	137723	0	0	0	0	0	791277	192458	0	0	0	0	0	0	627278	0	0	64292	20006	0	0	0	0	21738	0	0	2537	923562	0	5300	0	0	0	0	0	0	0	0	0	12336	0	876	0	0	0	0	0	104890	0	4315	0	0	0	0	0	184529	0	43340	29130	0	0	475695	7922	0	163	0	0	629708	0	0	0	0	61956	0	796211	213400	0	0	0	0	0	0	46964	205577	0	0	0	0	0	0	204701	0	0	0	0	20722	2694262	0	0	152536	0	0	0	0	0	0	106569	0	0
Clostridium sp. CAG:413	0	0	0	0	0	996647	0	0	0	0	0	0	0	0	0	0	1097437	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	450	0	0	0	0	0	0	0	0	0	0	10341	0	0	0	0	0	0	0	0	0	945936	0	0	0	0	0	0	0	0	219824	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	535725	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	696341	0	0	0	0	0	0	0	146328
Bacteroides stercoris	0	0	0	0	0	975826	0	807805	0	756410	0	161819	2774459	1235093	0	0	6622	469793	5097	343809	689012	0	0	1228194	5285860	0	443393	0	27322	0	447257	518203	0	0	0	0	0	11532958	0	0	0	0	0	171367	0	0	0	3740	168839	157054	0	9251	44828	0	756640	0	0	25485	0	28728	3123648	0	0	0	1075308	73955	0	0	48263	39793	336574	3311308	0	0	1279476	0	4234	5558	2776	0	0	0	0	0	0	0	0	0	6517	417571	673274	626	4358	43186	1528058	834955	0	22080	1115106	463012	0	1773227	1071	0	98149	0	65859	83554	0	0	1251273	10621	1424081	1110330	970680	0	253783	5021	0	137151	391828	0	0	0	1863734	0	0	0	0	275256	2447	0	0	0	0	0	590502	4479531	429980	0	0	785	840686	1438121	24573	2330236	0	182815	68009	0	8416	32664	327276	3724477	2138003	0
Bacteroides sp. CAG:443	0	0	0	0	0	307705	0	0	0	0	0	0	0	1336306	4532497	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	494	0	0	724168	0	0	0	0	0	1330212	0	0	0	0	0	0	0	0	0	255096	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1788654	18414	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77267	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1303704	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56745	0	0	0	0	0	0	0	102222	2150	0	0	0	0	0
Enterococcus faecium	0	0	0	0	0	246674	0	0	0	27819	0	2842	0	74815	0	0	0	0	517	22378	0	0	0	17371	0	0	0	0	5224	0	0	0	231754	15850	2766	11853	0	0	0	640271	208786	0	0	0	0	0	32094	0	0	10834	233085	0	9239	0	0	0	0	0	5249	1928	0	0	0	0	0	0	0	0	5328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5540	0	76331	0	58271	0	0	0	0	184328	16706	0	0	0	0	0	5524532	42054	0	0	1983844	0	99647	0	0	119386	0	0	2667978	0	39606	0	0	175696	114069	0	11990	0	6262	410174	0	66484	0	0	0	0	0	0	0	0	0	0	0	0	832891	0	0	0	267260	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Turicibacter sanguinis	0	0	0	0	0	91599	0	2591	0	0	0	0	0	15206	8195	0	0	0	0	0	124532	0	51117	0	0	31000	6910	0	0	0	7971	16917	32624	8147	14354	0	0	0	0	0	0	0	0	22053	0	0	9814	0	59100	2002	5440	0	0	0	9879	74158	0	0	6001	62577	0	0	0	0	0	0	0	0	1292	0	0	0	26000	0	0	0	0	0	134	31565	0	0	0	0	0	105869	0	16732	4580	288145	79710	0	18545	0	0	0	0	1030	1866	82223	2601	0	40880	0	5560	0	129402	0	1348	0	146127	0	106153	33827	0	890	0	1727	0	95078	0	0	0	0	0	3941	0	0	0	0	0	0	0	0	0	0	0	691	0	408	0	8528	0	919	0	0	0	10894	0	0	0	0	0	0	0	16499
Enterococcus gallinarum	0	0	0	0	0	80900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2776	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8078	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4837	0	0	0	0	0	0	4594	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	220002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ruminococcus sp. CAG:403	0	0	0	0	0	38486	0	25224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1277	75804	0	0	0	0	0	370609	67868	0	1765	0	2533	0	0	0	650943	0	0	0	131	0	132609	215928	0	1856	0	0	0	0	0	0	0	0	0	2070385	0	9294	0	0	0	0	19630	0	0	0	252908	0	0	0	0	0	73028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44038	0	0	0	504095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90242	0	0	0	0	0	0	0	0	0	847016	0	434066	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Enterococcus gilvus	0	0	0	0	0	26432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24695	0	0	0	0	0	0	0	0	0	195	10659	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Enterococcus malodoratus	0	0	0	0	0	16606	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	288	0	0	0	0	0	68974	0	0	0	0	0	0	0	0	0	0	501	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sanguibacteroides justesenii	0	0	0	0	0	14397	0	0	0	0	0	9188	0	45359	0	0	14621	0	0	48995	4532	0	0	0	0	0	0	0	40355	50647	0	0	4207	0	0	0	14557	0	0	0	0	0	17413	2263	0	0	0	0	0	12155	0	6957	0	0	13840	97367	0	7294	0	15520	0	0	0	0	0	6287	0	0	0	0	0	0	0	0	0	0	6601	0	1917	0	0	0	0	32651	0	1870	0	0	0	2550	0	0	0	0	0	0	0	0	0	0	0	17409	0	0	0	0	0	0	3087	0	0	0	0	154308	0	0	0	0	0	0	0	0	0	0	0	0	0	940	0	0	0	0	0	0	37609	0	0	0	0	299341	0	3096	0	84787	5308	4657	0	42031	0	0	0	0	0	0	1930	0
Coprobacter secundus	0	0	0	0	0	11591	0	22516	0	90746	0	0	0	11177	0	0	1964	0	6491	3483	0	14607	230194	0	3239	0	0	26470	0	261647	14060	11073	0	0	3111	0	116223	56899	32938	0	0	0	1598	62919	0	1860	0	4239	0	0	0	0	0	33532	92051	25723	0	0	0	8356	0	0	0	0	141162	0	0	0	0	0	23821	0	0	0	0	0	0	0	0	4209	0	0	0	0	0	9555	0	0	39857	35231	66898	21981	0	92447	687	0	0	0	0	95130	11851	0	0	0	3399	0	0	0	20991	0	0	0	0	79127	31174	0	21871	226876	13020	0	0	0	0	0	0	0	0	33837	0	0	112129	0	0	0	0	0	0	12299	0	0	0	0	0	43129	0	95676	0	139260	17199	663	0	1952	1751	0	0	56470
Eubacterium sp. OM08-24	0	0	0	0	0	10820	41632	882	0	0	14454	0	0	0	0	11301	0	0	0	0	0	0	0	0	0	0	0	11192	0	0	0	0	0	1439	356	0	0	249192	0	0	0	0	0	0	0	0	0	0	210568	4358	0	0	0	0	285524	0	0	0	0	0	35502	0	0	0	0	47503	0	0	0	0	84528	0	0	0	0	0	284030	1790	0	0	0	0	0	0	0	10837	0	0	0	1356	0	0	19056	0	0	0	0	165360	1171	0	0	61176	0	0	877	0	0	0	2264	40708	0	0	0	0	130	0	0	0	0	0	0	706	0	0	0	3392	0	0	0	1477	0	0	0	0	0	0	0	0	0	0	0	0	0	1102162	0	0	0	0	0	0	0	9709	0	144222	6572	209505
Victivallis vadensis	0	0	0	0	0	10136	0	870	0	0	0	0	0	124780	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37528	0	0	0	19168	0	0	0	0	0	2608	0	0	0	0	0	0	0	0	0	376	3904	0	18476	0	0	0	1620	0	106332	0	1005	0	0	0	477	0	9559	0	0	0	16537	0	0	0	0	0	0	0	0	6991	0	0	0	0	0	2002	17099	0	0	11708	93428	0	0	0	0	0	0	0	0	0	0	1944	0	0	0	0	25604	0	0	0	0	0	0	0	0	5714	0	0	3410	0	0	0	0	0	0	0	0	0	2337	0	0	0	0	5736	0	0	0	0	0	0	0	0	5374	215655	37493	0	0	0	0	0	9047	0	0	0	0	22506	9932
Gemella haemolysans	0	0	0	0	0	8074	2563	0	0	0	2285	0	0	0	0	1408	0	0	0	1861	0	0	0	2113	2670	0	0	0	1530	0	25796	0	0	0	0	0	0	0	3148	0	0	0	0	0	0	0	4900	21674	0	0	0	6868	2005	0	0	3245	0	0	0	1176	2439	0	0	0	743	722	3058	1408	0	0	0	2587	4195	0	0	0	933	0	0	0	444	0	0	2362	0	0	1873	0	0	0	0	0	15064	8739	0	0	5012	0	4142	8557	0	0	27422	0	0	0	0	1946	0	0	0	0	6829	9570	597	1995	898	3061	0	0	0	916	2584	0	4051	1287	13176	0	0	0	0	0	0	0	7422	0	0	1919	0	0	0	948	0	0	0	0	0	0	0	0	0	1932	0	0	0	0
Corynebacterium casei	0	0	0	0	0	7848	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52391	0	0	0	0	0	3642	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	362	0	0	0	0	0	0	0	144522	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Enterococcus pseudoavium	0	0	0	0	0	4391	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35682	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38466	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alloscardovia omnicolens	0	0	0	0	0	4275	0	0	0	0	0	0	0	0	0	0	0	0	4668	0	0	0	0	0	0	0	0	0	11369	0	13598	0	0	0	0	0	0	0	0	0	5504	0	0	0	0	0	0	0	0	0	0	0	5122	0	2290	19731	0	0	0	0	0	875	546	0	0	0	0	0	0	0	0	16851	0	0	0	0	0	0	0	0	0	0	0	7079	0	0	0	0	11596	0	0	0	374685	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3933	0	0	0	0	1663	0	0	0	0	21226	0	0	0	0	2126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	230907	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Carnobacterium divergens	0	0	0	0	0	3758	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinomyces sp. HPA0247	0	0	0	0	0	2269	0	0	0	0	0	0	0	0	0	2625	0	590	0	5540	0	0	0	0	0	0	645	0	15172	0	61320	0	0	0	1638	0	1510	0	402	0	0	0	0	0	0	0	0	0	0	0	0	0	1206	0	0	4881	0	0	0	0	0	0	1523	0	0	0	0	177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1270	0	0	0	0	0	0	0	0	1042	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1042	3253	0	0	0	0	0	2873	0	6502	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	353	0	0	0	0	0	0	0	0	0	0	7014	0	0	0	0
