RowNames	CCMD10032470ST.11.0	CCMD10191450ST.11.0	CCMD11006829ST.21.0	CCMD12232071ST.21.0	CCMD13071240ST.21.0	CCMD13934959ST.21.0	CCMD14479708ST.21.0	CCMD15562448ST.11.0	CCMD17410933ST.11.0	CCMD18579000ST.11.0	CCMD18829815ST.11.0	CCMD18872694ST.21.0	CCMD19168690ST.11.0	CCMD19497912ST.21.0	CCMD21593359ST.11.0	CCMD21703880ST.11.0	CCMD22852639ST.11.0	CCMD23101338ST.21.0	CCMD23541216ST.11.0	CCMD25475945ST.11.0	CCMD25511638ST.21.0	CCMD25963797ST.21.0	CCMD26625622ST.11.0	CCMD26709089ST.21.0	CCMD26925580ST.21.0	CCMD27463710ST.11.0	CCMD27867141ST.11.0	CCMD28738636ST.11.0	CCMD29706695ST.11.0	CCMD30626189ST.11.0	CCMD30627121ST.11.0	CCMD31009081ST.11.0	CCMD31134579ST.11.0	CCMD32288175ST.11.0	CCMD32965613ST.11.0	CCMD34381688ST.21.0	CCMD35081859ST.11.0	CCMD35633353ST.11.0	CCMD35801800ST.11.0	CCMD35802077ST.21.0	CCMD37575804ST.11.0	CCMD38158721ST.11.0	CCMD39157124ST.11.0	CCMD39882286ST.11.0	CCMD40701343ST.21.0	CCMD41202658ST.11.0	CCMD41521570ST.11.0	CCMD42428553ST.21.0	CCMD42956136ST.11.0	CCMD45004878ST.11.0	CCMD45812507ST.11.0	CCMD45988061ST.21.0	CCMD46222674ST.21.0	CCMD46727384ST.11.0	CCMD46947453ST.21.0	CCMD48236717ST.21.0	CCMD49025643ST.11.0	CCMD49461418ST.11.0	CCMD49942357ST.11.0	CCMD50071957ST.21.0	CCMD50300306ST.11.0	CCMD50529145ST.11.0	CCMD50538120ST.11.0	CCMD51154251ST.11.0	CCMD51228890ST.11.0	CCMD51864103ST.21.0	CCMD52117727ST.11.0	CCMD52145360ST.11.0	CCMD53508245ST.11.0	CCMD53522274ST.11.0	CCMD54057834ST.11.0	CCMD56948710ST.11.0	CCMD59540613ST.11.0	CCMD59583015ST.11.0	CCMD60079086ST.21.0	CCMD63399960ST.21.0	CCMD64503764ST.21.0	CCMD64776337ST.21.0	CCMD65222621ST.11.0	CCMD65406197ST.11.0	CCMD66848156ST.11.0	CCMD67373733ST.11.0	CCMD68973846ST.11.0	CCMD71242853ST.11.0	CCMD71915439ST.11.0	CCMD72666896ST.11.0	CCMD72690923ST.11.0	CCMD72895164ST.21.0	CCMD73128545ST.11.0	CCMD74592084ST.11.0	CCMD74930188ST.21.0	CCMD75147712ST.11.0	CCMD76222476ST.11.0	CCMD76409700ST.11.0	CCMD79349503ST.11.0	CCMD79987997ST.21.0	CCMD82866709ST.21.0	CCMD85481373ST.11.0	CCMD85661207ST.11.0	CCMD86114146ST.21.0	CCMD86707194ST.21.0	CCMD87156761ST.21.0	CCMD88272491ST.21.0	CCMD89107682ST.11.0	CCMD89306485ST.11.0	CCMD89643949ST.11.0	CCMD89967135ST.11.0	CCMD90311071ST.21.0	CCMD92404903ST.11.0	CCMD93344354ST.21.0	CCMD93755960ST.11.0	CCMD95431029ST.11.0	CCMD95433940ST.21.0	CCMD95676152ST.11.0	CCMD96553385ST.21.0	CCMD98198513ST.11.0	CCMD98531134ST.11.0	CCMD98702133ST.11.0	CCMD99440714ST.11.0	CCMD99929634ST.11.0	MMPU29365221ST	MMPU68403337ST	MMPU72854103ST	MMPU84450604ST	MMPU99077057ST
Ruminococcaceae bacterium D5	0	0	0	1958	1224	0	0	0	0	0	0	0	0	0	0	12922	17587	0	0	0	52467	0	0	0	0	9774	111515	0	2905	0	0	0	0	0	0	0	0	254650	0	0	0	0	0	0	0	0	0	12665	0	657	0	177869	0	13604	0	0	0	0	0	0	0	0	5074	0	0	0	0	29670	0	0	0	0	0	0	3789	2092	0	27376	0	0	2977	0	0	0	0	0	0	12405	239	0	0	0	0	16277	0	0	2131	0	0	0	0	0	0	0	6101	0	2432	0	0	0	0	0	0	168056	0	0	0	0	0	0	0	91274	0	0	0
Eubacteriaceae bacterium CHKCI005	0	0	0	1945	0	155	0	0	0	0	0	0	7685	0	0	0	0	2523	0	0	3688	0	0	0	0	3202	0	0	0	0	0	0	0	1741	0	0	0	0	3953	0	0	0	0	0	0	0	0	4138	0	0	0	0	0	13159	0	4100	0	0	1240	0	0	0	0	0	0	994	0	500	0	0	0	884	0	0	23006	0	10522	0	0	0	885	0	0	0	0	1003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30613	0	2657	0	0	0	0	28414	0	2828	0	4057	0	0	0	0	0	0
Limosilactobacillus fermentum	0	0	0	1606	0	0	0	0	0	0	0	0	0	5261	0	0	0	0	0	0	0	0	0	0	0	147541	0	0	0	0	0	51607	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Enorma massiliensis	0	0	0	1599	1719	0	55700	0	972	3750	0	935	0	411925	220	12394	0	3653	0	0	338364	964	36349	0	0	27568	0	0	0	0	0	283	0	0	0	0	0	0	0	648	0	0	0	523	0	0	0	368	0	0	0	0	5570	627	0	4391	678	93833	0	0	0	5713	0	0	0	0	0	13115	9219	0	0	0	0	8978	11555	255	5553	2092	0	0	1051	0	0	19149	0	0	7517	0	0	0	400	0	1281	0	5913	0	1052	0	0	7324	602	0	0	0	13880	0	3028	47138	3110	0	0	3834	2745	2114	0	0	16656	74298	37571	0	3355	1268862	337536	5411	199
Faecalitalea cylindroides	0	0	0	0	3030228	0	18523	0	0	146759	0	0	0	39986	0	0	0	0	0	0	0	0	0	0	0	414122	0	0	0	0	139557	21999	115089	419825	60404	0	0	0	0	0	0	0	0	0	0	0	0	80757	0	0	0	11553	0	674219	0	0	0	0	0	0	0	4722	0	0	0	0	0	137421	0	0	110198	0	0	0	0	0	447805	0	0	0	0	0	0	0	0	0	0	8434	0	0	0	0	0	0	12174	0	0	0	0	0	13859	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32040	0	0	0
Dialister sp. CAG:357	0	0	0	0	1313011	499196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5180	0	0	0	0	0	0	0	0	822527	0	0	0	0	0	0	0	947242	0	0	0	0	0	0	0	1014565	0	1487757	0	0	0	0	1119745	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3742055	0	0	0	0	0	0	0	0
Sanguibacteroides justesenii	0	0	0	0	76697	0	0	9398	0	0	0	11768	0	0	0	0	0	63715	453	0	0	0	0	0	0	0	0	0	0	0	0	0	20471	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5295	0	38629	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6665	0	0	0	0	0	0	0	0	0	109	0	1815	0	0	0	0	0	743	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides clarus	0	0	0	0	63999	0	152715	0	0	61461	0	0	0	5146	0	0	62598	2022	0	650202	892010	88767	0	0	1881926	0	0	0	0	0	0	0	33144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11531	0	88429	0	0	12281	0	0	0	0	0	0	0	0	0	0	0	57208	0	0	163126	0	0	0	0	0	0	0	88364	0	0	0	0	0	0	32479	0	0	0	0	79688	0	0	3922	0	0	0	142674	0	0	0	57780	1949	231824	0	1876	0	0	0	0	6717	0	0	0	0	0	0	0	24735	0	0	0	0	0	0	0	0	0
Bacteroides sp. CAG:144	0	0	0	0	29633	0	90186	0	0	452024	163405	12271	0	78567	0	0	0	511894	0	628605	0	0	0	0	0	388000	0	0	0	0	0	0	205275	0	99558	0	0	984025	0	0	85774	0	117540	0	0	55495	0	0	0	1084218	0	0	0	272388	184989	0	0	0	95810	0	0	222551	0	0	0	0	0	97694	0	0	0	146278	0	0	0	0	0	0	0	0	317860	0	74621	155324	0	0	403793	156512	0	0	0	0	0	0	4663	0	0	0	0	0	246937	397266	0	0	2123	122052	0	0	0	0	0	0	0	762738	165	22289	858322	54346	0	0	0	807563	0	0	0
Marvinbryantia formatexigens	0	0	0	0	28904	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Schaalia turicensis	0	0	0	0	26665	0	0	0	0	0	0	0	0	0	364376	169230	0	20697	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88822	0	0	0	0	0	0	0	0	57207	0	0	0	0	0	0	0	0	2536	0	0	97323	0	0	0	0	0	0	0	0	238	5490	0	0	0	0	0	25812	0	7721	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4054	0	0	0	0	0	0	0	0	0	0	0
Eisenbergiella massiliensis	0	0	0	0	23360	0	0	0	95	0	14277	0	0	47257	0	0	0	0	0	0	0	32397	36722	0	2489	11072	3231	0	0	0	0	0	0	0	0	0	0	0	14953	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	472	0	0	0	0	0	0	0	0	0	7276	0	254	0	0	0	0	0	0	380864	0	0	0	0	0	0	0	1509	14592	122465	50028	0	0	4254	0	0	0	0	0	0	563	0	0	0	0	0	0	681211	0	0	0	0	0	0	0	0	188	5070	0	0	0	0	0	12960	0	0	54810	0	0	3600
Candidatus Gastranaerophilales bacterium	0	0	0	0	14785	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4304	0	0	0	0	0	0	0	0	0	0	0	0	11585	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55089	0	0	0	0	0	0	0	0	0	0	0	0	0	23335	0	1737	0	3532	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	93317	0	0	0	0	0	0	0	0	0	0	0	0	0
Lachnoclostridium sp. An138	0	0	0	0	12457	2019	0	0	0	0	0	0	0	11673	0	0	0	0	0	934	16928	10862	0	0	0	2157	3480	0	0	0	2122	0	0	7350	0	0	0	0	1028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7406	0	937	3109	1275	0	0	0	0	0	1907	0	0	0	0	0	0	0	0	0	0	0	2930	1381	0	362	0	0	0	0	0	6059	0	0	0	0	0	0	0	0	0	0	0	1681	0	0	0	0	0	0	0	0	0	2184	0	0	0	0	0	3287	0	0	0	21073	0	5759	0	0	14026	0	0	0
Prevotella corporis	0	0	0	0	6501	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	147083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2486	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1162	0	0
Butyricimonas synergistica	0	0	0	0	5062	0	83671	10271	0	0	0	42388	0	0	13788	0	0	19729	791	80265	0	66928	97278	0	881	18802	0	0	7398	691	18980	0	0	0	0	0	0	6141	0	45751	0	0	21605	0	0	13358	0	14745	0	0	22126	0	0	25957	0	0	398	0	0	4989	0	0	0	0	0	0	0	100151	0	0	6431	0	12300	0	120421	69620	679	0	0	14716	497	40767	14617	23298	168206	0	0	3573	3283	0	7473	0	11169	30591	1162	0	0	0	0	0	0	0	0	0	0	1157	0	26734	0	0	0	8685	0	1025	0	0	0	0	15975	0	65129	191292	0	0	0
Prevotella disiens	0	0	0	0	4757	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20752	0	0	0	0	0	0	0	0	0	13096	10291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tractidigestivibacter scatoligenes	0	0	0	0	3622	0	22347	1537	0	0	0	1051	0	449768	0	19458	0	11139	0	0	0	0	0	0	0	18699	0	0	0	2040	0	0	0	0	0	0	0	5864	0	0	914	0	0	3177	0	0	1535	3396	0	0	0	0	11758	4926	0	3541	0	495	0	0	0	36223	0	0	0	0	0	602	0	0	0	0	0	791	0	0	0	20471	0	0	0	0	0	0	0	0	13972	0	0	0	0	0	0	0	14952	0	0	0	0	30368	0	0	0	0	42396	0	764	0	0	383	0	0	4130	931	0	0	4375	0	0	0	0	12560	0	1183	294
Peptoniphilus lacrimalis	0	0	0	0	3165	0	0	0	0	0	0	0	0	0	0	81726	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7650	0	0	0	0	0	0	0	0	0	0	2677	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Propionibacterium freudenreichii	0	0	0	0	2727	0	0	0	0	0	0	0	0	147325	0	0	27252	0	933	0	0	8925	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5431	0	0	20704	0	1757	6287	0	0	0	0	0	11452	15450	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73971	0	0	0	0	0	0	0	0	9430	2571	0	0	0	4289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33501
Streptococcus milleri	0	0	0	0	2524	0	0	0	0	902	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9490	0	0	0	15984	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6250	1293	692	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Proteobacteria bacterium CAG:139	0	0	0	0	1833	133167	0	0	19881	16509	0	0	0	0	2671	0	533501	3458	0	0	33262	38981	0	36872	0	0	794476	624565	5096	0	0	8604	18595	202142	0	354905	7135	60618	0	103484	0	0	0	0	0	0	0	187	0	0	4452	173781	0	29035	68441	0	0	3347	622	306263	0	26636	12384	34244	0	839792	2065870	33652	111	0	0	0	0	56585	757503	1159	0	0	0	0	0	0	0	174824	651887	0	0	0	65624	244761	472128	27735	0	1901	0	0	3639	0	0	0	0	281713	0	217362	0	0	0	0	0	0	0	316939	1192180	488613	0	0	0	90	31929	0	0	14184	0	1109	143494
Enterocloster asparagiformis	0	0	0	0	1713	0	0	0	4730	0	9150	0	0	0	4470	0	0	0	0	0	0	2934	30099	0	716	19614	0	0	0	0	0	936	0	0	0	0	0	1686	1249	4143	0	0	0	0	0	0	0	1192	0	0	0	0	0	25750	0	0	0	0	0	0	0	0	0	21312	0	0	4650	0	0	0	0	0	11689	0	5241	539	11578	0	4379	0	0	0	0	0	6028	0	0	11110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23920	0	0	0	0	0	0	1358	0	1061	915	0	0	0	0	0	16292	0	0	36082	0	0	17790
Parabacteroides gordonii	0	0	0	0	901	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	536	31241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	422655	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6431	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bifidobacterium pseudocatenulatum	0	0	0	0	787	0	1149710	0	1445023	9213	0	0	0	286	0	0	0	0	0	0	0	0	1581	1071900	1032429	0	0	365816	0	0	0	0	0	0	0	0	33171	1468370	0	0	0	0	0	0	0	0	41968	0	0	18677	0	0	18687	0	0	0	0	0	0	264129	0	0	700242	1192605	27331	0	0	0	0	0	0	0	0	197748	0	81244	0	0	124111	277828	0	0	0	21675	0	0	0	0	0	0	0	0	0	443950	175656	0	2618	34247	0	4592	0	205	0	0	5297	0	0	4273	1775272	0	420874	0	0	0	0	0	48278	0	581446	0	1400399	0	261025	1174159	0
Lachnoclostridium sp. An118	0	0	0	0	495	0	0	0	0	0	0	0	0	4141	0	0	0	0	0	0	0	0	0	0	0	3286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30069	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2245	0	0	0	0	0	0	0	0	0	1999	0	0	0	0	0	0	0	0
Fusobacterium sp. oral taxon 370	0	0	0	0	0	155544	0	0	0	0	0	39479	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20486	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	124722	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides galacturonicus	0	0	0	0	0	98255	0	0	0	8292	0	0	0	0	0	0	2466	0	0	0	0	4203	0	0	0	0	0	0	681	0	0	0	9875	0	6208	0	0	0	328828	138419	0	0	1360	0	0	0	34978	89547	0	0	0	0	18923	0	1091460	5155	0	3850	0	145382	0	0	0	0	0	0	0	16157	0	0	0	71002	0	0	0	7536	0	3029	0	0	0	19450	0	0	0	0	0	0	0	781	8203	0	0	2834	0	0	2157	0	8546	0	39995	21492	0	0	0	0	0	985	0	0	12571	25265	0	0	0	0	0	888	0	0	0	0	0	181049	22544
Schaalia cardiffensis	0	0	0	0	0	41842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	570	0	0	0	0	0	0	0	0	0	0	0	0	10436	0	0	0	0	0	4445	0	0	0	0	0	0	0	0	0	0	0	10982	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Turicimonas muris	0	0	0	0	0	23345	0	0	854	0	0	0	0	0	508	0	0	3458	0	0	16084	27534	0	32343	0	0	16519	42184	0	0	0	4944	0	2364	0	0	726	3917	0	2336	0	0	0	0	0	0	0	0	0	0	5844	12602	0	0	42890	0	0	3557	0	3553	0	0	0	53807	0	9652	21968	32889	0	0	0	0	0	32777	34965	503	0	0	0	0	0	0	0	16168	5475	0	0	0	17319	2337	16293	131755	0	0	0	0	4147	0	601	0	0	6340	0	664	0	0	0	0	0	0	0	1799	22446	22692	0	0	0	0	89253	0	0	5758	0	1183	128622
Hungatella effluvii	0	0	0	0	0	7496	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Campylobacter ureolyticus	0	0	0	0	0	6749	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13309	0	0	0	0	0	0	420	0	0	0	0	0	5719	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49797	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1162	0	0	0	0	0	0	0	0	0	0	0	0	0
Coprobacillus cateniformis	0	0	0	0	0	5798	0	0	237	183092	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24039	0	0	0	0	0	365	0	53891	0	0	0	0	0	0	0	0	0	0	0	0	0	2110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20172	0	116362	0	0	4635	0	13689	0	0	64297	19946	9699	0	0	2860	0	0	0	0	0	0	0	0	2446	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28784	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Stenotrophomonas maltophilia	0	0	0	0	0	4219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Clostridiales bacterium 1_7_47FAA	0	0	0	0	0	2204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7672	0	0	0	0	0	0	0	0	0	8319	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fusobacterium periodonticum	0	0	0	0	0	1727	0	0	0	0	0	205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3060	0	0	0	1493	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13382	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alcaligenes aquatilis	0	0	0	0	0	481	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acidaminococcus intestini	0	0	0	0	0	0	5044991	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1193274	0	0	2716256	0	2914434	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16522	0	0	0	0	0	0	409641	0	2820	0	0	0	0	0	0	0	0	3449113	299096	0	0	0	0	0	0
Megamonas hypermegale	0	0	0	0	0	0	2113863	0	0	0	57969	0	0	4974	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7056	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Catenibacterium mitsuokai	0	0	0	0	0	0	492428	5382	14843	0	0	0	0	1129137	0	1555875	0	574223	0	0	0	0	0	0	0	0	2164	0	12569	0	5242241	0	0	0	0	0	0	0	0	0	0	0	37971	5561106	0	0	513143	141929	0	0	0	3448	118342	0	0	299454	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	540701	0	0	0	0	0	0	0	0	0	0	566592	0	9514	0	0	0	0	2357237	0	0	0	863445	0	0	0	0	0	0	0	0	0	0	0	0	2468019	0	0	0	0	0	0	0	0
Prevotella sp. CAG:1185	0	0	0	0	0	0	445364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	319	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70050	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3682	0	0	0	0	0	0	1833	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pyramidobacter piscolens	0	0	0	0	0	0	316862	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	606	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	219925	0	0	0
Parabacteroides sp. CAG:409	0	0	0	0	0	0	114242	0	0	0	0	0	0	86169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21707	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6544	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	247894	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
