index	cluster95	Domain	phylum	class	order	family	genus	species	subspecies	Label
0407001001	0407	Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium sp002742445	001001	Bifidobacterium sp002742445 001001
0409001001	0409	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	Intestinimonas	Intestinimonas massiliensis	001001	Intestinimonas massiliensis 001001
0411001002	0411	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella		001002	Collinsella 001002
0411001001	0411	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella		001001	Collinsella 001001
0413001001	0413	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides ndongoniae	001001	Bacteroides ndongoniae 001001
0417001001	0417	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Collinsella aerofaciens_F	001001	Collinsella aerofaciens_F 001001
0422001001	0422	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Eubacterium_G	Eubacterium_G sp000434315	001001	Eubacterium_G sp000434315 001001
0422001002	0422	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Eubacterium_G	Eubacterium_G sp000434315	001002	Eubacterium_G sp000434315 001002
0423001001	0423	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Collinsella sp900552735	001001	Collinsella sp900552735 001001
0424001001	0424	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Collinsella aerofaciens_F	001001	Collinsella aerofaciens_F 001001
0427001001	0427	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	UBA9502	UBA9502 sp900538475	001001	UBA9502 sp900538475 001001
0427001002	0427	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	UBA9502	UBA9502 sp900538475	001002	UBA9502 sp900538475 001002
0428001001	0428	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	GCA-900066135	GCA-900066135 sp900066135	001001	GCA-900066135 sp900066135 001001
0430001003	0430	Bacteria	Firmicutes_C	Negativicutes	Acidaminococcales	Acidaminococcaceae	Acidaminococcus	Acidaminococcus intestini	001003	Acidaminococcus intestini 001003
0431001001	0431	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella		001001	Collinsella 001001
0435001002	0435	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Dorea	Dorea sp000433535	001002	Dorea sp000433535 001002
0436001003	0436	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	TF01-11	TF01-11 sp001414325	001003	TF01-11 sp001414325 001003
0436001001	0436	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	TF01-11	TF01-11 sp001414325	001001	TF01-11 sp001414325 001001
0436001004	0436	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	TF01-11	TF01-11 sp001414325	001004	TF01-11 sp001414325 001004
0438001003	0438	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Enterocloster	Enterocloster sp900538485	001003	Enterocloster sp900538485 001003
0438001004	0438	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Enterocloster	Enterocloster sp900538485	001004	Enterocloster sp900538485 001004
0438001002	0438	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Enterocloster	Enterocloster sp900538485	001002	Enterocloster sp900538485 001002
