Value	Feature	test_study	data_type	random_state
21	0160001002	VogtmannE_2016	subspecies	424
0	0161001001	VogtmannE_2016	subspecies	424
12	0161001002	VogtmannE_2016	subspecies	424
1	0161001003	VogtmannE_2016	subspecies	424
4	0162001001	VogtmannE_2016	subspecies	424
0	0163001001	VogtmannE_2016	subspecies	424
0	0163001004	VogtmannE_2016	subspecies	424
0	0163001005	VogtmannE_2016	subspecies	424
0	0163001006	VogtmannE_2016	subspecies	424
4	0170001003	VogtmannE_2016	subspecies	424
23	0170001004	VogtmannE_2016	subspecies	424
0	0173001001	VogtmannE_2016	subspecies	424
2	0174001001	VogtmannE_2016	subspecies	424
41	0174001002	VogtmannE_2016	subspecies	424
17	0174001003	VogtmannE_2016	subspecies	424
0	0176001001	VogtmannE_2016	subspecies	424
17	0178001001	VogtmannE_2016	subspecies	424
0	0178001004	VogtmannE_2016	subspecies	424
22	0182001002	VogtmannE_2016	subspecies	424
36	0183001001	VogtmannE_2016	subspecies	424
20	0183001002	VogtmannE_2016	subspecies	424
23	0183001003	VogtmannE_2016	subspecies	424
1	0184001001	VogtmannE_2016	subspecies	424
1	0186001001	VogtmannE_2016	subspecies	424
1	0187001001	VogtmannE_2016	subspecies	424
1	0188001001	VogtmannE_2016	subspecies	424
0	0191001001	VogtmannE_2016	subspecies	424
11	0192001001	VogtmannE_2016	subspecies	424
69	0193001001	VogtmannE_2016	subspecies	424
42	0195001001	VogtmannE_2016	subspecies	424
2	0196001002	VogtmannE_2016	subspecies	424
28	0200001001	VogtmannE_2016	subspecies	424
1	0202001001	VogtmannE_2016	subspecies	424
2	0202001002	VogtmannE_2016	subspecies	424
7	0203001001	VogtmannE_2016	subspecies	424
0	0203001002	VogtmannE_2016	subspecies	424
31	0204001001	VogtmannE_2016	subspecies	424
6	0204001003	VogtmannE_2016	subspecies	424
28	0205001001	VogtmannE_2016	subspecies	424
33	0206001002	VogtmannE_2016	subspecies	424
1	0206001003	VogtmannE_2016	subspecies	424
1	0208001001	VogtmannE_2016	subspecies	424
26	0208001002	VogtmannE_2016	subspecies	424
6	0208001003	VogtmannE_2016	subspecies	424
1	0208001004	VogtmannE_2016	subspecies	424
18	0209001002	VogtmannE_2016	subspecies	424
0	0209001004	VogtmannE_2016	subspecies	424
15	0213001001	VogtmannE_2016	subspecies	424
0	0216001001	VogtmannE_2016	subspecies	424
0	0216001002	VogtmannE_2016	subspecies	424
0	0218001001	VogtmannE_2016	subspecies	424
6	0219001001	VogtmannE_2016	subspecies	424
11	0219001002	VogtmannE_2016	subspecies	424
3	0220001001	VogtmannE_2016	subspecies	424
1	0220001002	VogtmannE_2016	subspecies	424
0	0221001002	VogtmannE_2016	subspecies	424
8	0221001003	VogtmannE_2016	subspecies	424
4	0222001001	VogtmannE_2016	subspecies	424
111	0224001001	VogtmannE_2016	subspecies	424
2	0224001002	VogtmannE_2016	subspecies	424
6	0225001001	VogtmannE_2016	subspecies	424
1	0226001002	VogtmannE_2016	subspecies	424
48	0227001001	VogtmannE_2016	subspecies	424
5	0229001001	VogtmannE_2016	subspecies	424
5	0230001001	VogtmannE_2016	subspecies	424
0	0230001002	VogtmannE_2016	subspecies	424
36	0231001003	VogtmannE_2016	subspecies	424
12	0232001001	VogtmannE_2016	subspecies	424
7	0233001001	VogtmannE_2016	subspecies	424
7	0233001002	VogtmannE_2016	subspecies	424
0	0236001002	VogtmannE_2016	subspecies	424
5	0239001001	VogtmannE_2016	subspecies	424
0	0240001002	VogtmannE_2016	subspecies	424
0	0240001003	VogtmannE_2016	subspecies	424
24	0241001001	VogtmannE_2016	subspecies	424
8	0241001002	VogtmannE_2016	subspecies	424
6	0242001001	VogtmannE_2016	subspecies	424
13	0243001002	VogtmannE_2016	subspecies	424
0	0246001001	VogtmannE_2016	subspecies	424
9	0248001002	VogtmannE_2016	subspecies	424
0	0250001001	VogtmannE_2016	subspecies	424
43	0253001001	VogtmannE_2016	subspecies	424
9	0253001002	VogtmannE_2016	subspecies	424
0	0254001001	VogtmannE_2016	subspecies	424
35	0254001002	VogtmannE_2016	subspecies	424
9	0255001001	VogtmannE_2016	subspecies	424
30	0255001003	VogtmannE_2016	subspecies	424
5	0256001002	VogtmannE_2016	subspecies	424
0	0257001001	VogtmannE_2016	subspecies	424
31	0259001001	VogtmannE_2016	subspecies	424
8	0261001001	VogtmannE_2016	subspecies	424
14	0262001001	VogtmannE_2016	subspecies	424
5	0262001002	VogtmannE_2016	subspecies	424
15	0262001003	VogtmannE_2016	subspecies	424
30	0262001004	VogtmannE_2016	subspecies	424
0	0266001002	VogtmannE_2016	subspecies	424
5	0268001001	VogtmannE_2016	subspecies	424
96	0268001002	VogtmannE_2016	subspecies	424
0	0269001002	VogtmannE_2016	subspecies	424
0	0269001003	VogtmannE_2016	subspecies	424
1	0273001001	VogtmannE_2016	subspecies	424
5	0276001001	VogtmannE_2016	subspecies	424
6	0276001002	VogtmannE_2016	subspecies	424
0	0279001002	VogtmannE_2016	subspecies	424
4	0279001003	VogtmannE_2016	subspecies	424
1	0281001001	VogtmannE_2016	subspecies	424
21	0282001001	VogtmannE_2016	subspecies	424
4	0282001002	VogtmannE_2016	subspecies	424
2	0285001001	VogtmannE_2016	subspecies	424
1	0285001002	VogtmannE_2016	subspecies	424
0	0285001003	VogtmannE_2016	subspecies	424
1	0286001001	VogtmannE_2016	subspecies	424
0	0290001001	VogtmannE_2016	subspecies	424
2	0291001004	VogtmannE_2016	subspecies	424
7	0291001005	VogtmannE_2016	subspecies	424
21	0295001001	VogtmannE_2016	subspecies	424
14	0296001003	VogtmannE_2016	subspecies	424
0	0298001001	VogtmannE_2016	subspecies	424
4	0298001002	VogtmannE_2016	subspecies	424
8	0301001001	VogtmannE_2016	subspecies	424
11	0301001002	VogtmannE_2016	subspecies	424
3	0303001001	VogtmannE_2016	subspecies	424
2	0306001001	VogtmannE_2016	subspecies	424
0	0309001001	VogtmannE_2016	subspecies	424
15	0311001001	VogtmannE_2016	subspecies	424
19	0311001002	VogtmannE_2016	subspecies	424
6	0312001001	VogtmannE_2016	subspecies	424
1	0313001001	VogtmannE_2016	subspecies	424
0	0313001002	VogtmannE_2016	subspecies	424
1	0313001003	VogtmannE_2016	subspecies	424
4	0313001005	VogtmannE_2016	subspecies	424
31	0314001001	VogtmannE_2016	subspecies	424
34	0315001004	VogtmannE_2016	subspecies	424
2	0315001006	VogtmannE_2016	subspecies	424
5	0316001001	VogtmannE_2016	subspecies	424
0	0316001002	VogtmannE_2016	subspecies	424
33	0316001003	VogtmannE_2016	subspecies	424
2	0316001004	VogtmannE_2016	subspecies	424
0	0316001005	VogtmannE_2016	subspecies	424
9	0317001002	VogtmannE_2016	subspecies	424
2	0320001001	VogtmannE_2016	subspecies	424
0	0322001001	VogtmannE_2016	subspecies	424
1	0322001002	VogtmannE_2016	subspecies	424
0	0322001003	VogtmannE_2016	subspecies	424
0	0322001009	VogtmannE_2016	subspecies	424
1	0323001002	VogtmannE_2016	subspecies	424
9	0324001001	VogtmannE_2016	subspecies	424
0	0326001008	VogtmannE_2016	subspecies	424
28	0327001001	VogtmannE_2016	subspecies	424
8	0327001002	VogtmannE_2016	subspecies	424
0	0328001001	VogtmannE_2016	subspecies	424
3	0330001001	VogtmannE_2016	subspecies	424
0	0332001001	VogtmannE_2016	subspecies	424
4	0333001001	VogtmannE_2016	subspecies	424
74	0333001002	VogtmannE_2016	subspecies	424
2	0334001001	VogtmannE_2016	subspecies	424
36	0335001002	VogtmannE_2016	subspecies	424
2	0338001001	VogtmannE_2016	subspecies	424
27	0339001003	VogtmannE_2016	subspecies	424
9	0340001001	VogtmannE_2016	subspecies	424
0	0341001002	VogtmannE_2016	subspecies	424
117	0342001001	VogtmannE_2016	subspecies	424
82	0342001002	VogtmannE_2016	subspecies	424
4	0352001003	VogtmannE_2016	subspecies	424
11	0354001001	VogtmannE_2016	subspecies	424
8	0354001002	VogtmannE_2016	subspecies	424
0	0358001002	VogtmannE_2016	subspecies	424
0	0359001001	VogtmannE_2016	subspecies	424
0	0359001002	VogtmannE_2016	subspecies	424
0	0363001002	VogtmannE_2016	subspecies	424
0	0364001001	VogtmannE_2016	subspecies	424
15	0366001001	VogtmannE_2016	subspecies	424
17	0374001001	VogtmannE_2016	subspecies	424
0	0376001001	VogtmannE_2016	subspecies	424
2	0376001002	VogtmannE_2016	subspecies	424
1	0378001001	VogtmannE_2016	subspecies	424
7	0378001002	VogtmannE_2016	subspecies	424
0	0386001001	VogtmannE_2016	subspecies	424
11	0389001001	VogtmannE_2016	subspecies	424
3	0389001002	VogtmannE_2016	subspecies	424
8	0391001001	VogtmannE_2016	subspecies	424
13	0392001001	VogtmannE_2016	subspecies	424
0	0392001002	VogtmannE_2016	subspecies	424
38	0392001003	VogtmannE_2016	subspecies	424
0	0393001001	VogtmannE_2016	subspecies	424
1	0394001001	VogtmannE_2016	subspecies	424
3	0394001005	VogtmannE_2016	subspecies	424
3	0396001001	VogtmannE_2016	subspecies	424
7	0399001001	VogtmannE_2016	subspecies	424
10	0403001003	VogtmannE_2016	subspecies	424
2	0405001001	VogtmannE_2016	subspecies	424
0	0406001003	VogtmannE_2016	subspecies	424
23	0407001001	VogtmannE_2016	subspecies	424
3	0407001002	VogtmannE_2016	subspecies	424
10	0407001003	VogtmannE_2016	subspecies	424
2	0409001001	VogtmannE_2016	subspecies	424
0	0411001001	VogtmannE_2016	subspecies	424
3	0411001002	VogtmannE_2016	subspecies	424
2	0413001001	VogtmannE_2016	subspecies	424
19	0417001001	VogtmannE_2016	subspecies	424
2	0422001001	VogtmannE_2016	subspecies	424
2	0424001001	VogtmannE_2016	subspecies	424
3	0427001001	VogtmannE_2016	subspecies	424
8	0428001001	VogtmannE_2016	subspecies	424
2	0431001001	VogtmannE_2016	subspecies	424
8	0438001003	VogtmannE_2016	subspecies	424
13	0438001004	VogtmannE_2016	subspecies	424
0	0442001001	VogtmannE_2016	subspecies	424
1	0442001002	VogtmannE_2016	subspecies	424
1	0444001001	VogtmannE_2016	subspecies	424
9	0444001003	VogtmannE_2016	subspecies	424
0	0446001001	VogtmannE_2016	subspecies	424
26	0446001002	VogtmannE_2016	subspecies	424
3	0446001003	VogtmannE_2016	subspecies	424
10	0447001001	VogtmannE_2016	subspecies	424
5	0447001002	VogtmannE_2016	subspecies	424
0	0449001001	VogtmannE_2016	subspecies	424
1	0451001001	VogtmannE_2016	subspecies	424
18	0451001002	VogtmannE_2016	subspecies	424
15	0451001003	VogtmannE_2016	subspecies	424
0	0453001001	VogtmannE_2016	subspecies	424
1	0464001001	VogtmannE_2016	subspecies	424
0	0472001001	VogtmannE_2016	subspecies	424
0	0479001001	VogtmannE_2016	subspecies	424
34	0480001001	VogtmannE_2016	subspecies	424
6	0480001002	VogtmannE_2016	subspecies	424
2	0481001001	VogtmannE_2016	subspecies	424
0	0482001001	VogtmannE_2016	subspecies	424
0	0482001002	VogtmannE_2016	subspecies	424
6	0484001001	VogtmannE_2016	subspecies	424
0	0486001001	VogtmannE_2016	subspecies	424
3	0489001001	VogtmannE_2016	subspecies	424
0	0491001004	VogtmannE_2016	subspecies	424
3	0492001001	VogtmannE_2016	subspecies	424
5	0492001003	VogtmannE_2016	subspecies	424
45	0492001004	VogtmannE_2016	subspecies	424
13	0497001001	VogtmannE_2016	subspecies	424
31	0507001001	VogtmannE_2016	subspecies	424
0	0511001001	VogtmannE_2016	subspecies	424
0	0511001002	VogtmannE_2016	subspecies	424
18	0513001001	VogtmannE_2016	subspecies	424
2	0513001002	VogtmannE_2016	subspecies	424
2	0514001001	VogtmannE_2016	subspecies	424
2	0517001001	VogtmannE_2016	subspecies	424
0	0517001004	VogtmannE_2016	subspecies	424
0	0518001002	VogtmannE_2016	subspecies	424
9	0518001003	VogtmannE_2016	subspecies	424
0	0529001001	VogtmannE_2016	subspecies	424
0	0530001001	VogtmannE_2016	subspecies	424
7	0533001001	VogtmannE_2016	subspecies	424
3	0539001001	VogtmannE_2016	subspecies	424
4	0539001002	VogtmannE_2016	subspecies	424
14	0544001001	VogtmannE_2016	subspecies	424
0	0552001002	VogtmannE_2016	subspecies	424
16	0553001001	VogtmannE_2016	subspecies	424
