"species"	"mean_effect_size"	"ci_lower"	"ci_upper"	"p_value"	"p_value_adj"
"0544001001"	0.0923078115714682	-0.0282530139051221	0.212868637048058	0.133445288724039	0.427361004589555
"0394001002"	0.116806220387797	-0.0448792688397468	0.278491709615341	0.1567948225572	0.459916700505398
"0533001001"	0.19846736035785	0.0777442886858224	0.319190432029878	0.00127228706838302	0.0242353015873238
"0023001002"	0.00155216389382849	-0.118986440155601	0.122090767943258	0.979864914961597	0.996281590233988
"0213001001"	-0.246664982056699	-0.487144164142654	-0.00618579997074434	0.0443910106713271	0.231240986939423
"0092001002"	-0.166774626711624	-0.287478790612169	-0.0460704628110801	0.00676809219420623	0.0728034387792458
"0003001003"	-0.193853869208497	-0.432935780663821	0.0452280422468272	0.112017485476486	0.385042559726817
"0008001001"	-0.270450283875804	-0.391468311494264	-0.149432256257344	1.18616971431969e-05	0.000756665936367187
"1443001001"	0.0167354492939774	-0.157207844658694	0.190678743246649	0.850428085810423	0.954777085919808
"2043001001"	-0.0369577347228009	-0.210912829149453	0.136997359703851	0.677113426758167	0.867049350275038
"0122001001"	0.0773630021507027	-0.0824031159324506	0.237129120233856	0.342586703833352	0.6416129342591
"4181001002"	-0.114718652866041	-0.28880187845535	0.0593645727232677	0.19649862233368	0.513818609209993
"3529001002"	-0.0166547535900266	-0.190598018258435	0.157288511078382	0.851140826105762	0.954777085919808
"3214001001"	NA	NA	NA	NA	NA
"0298001001"	-0.0348202097633797	-0.252762940838694	0.183122521311935	0.754175101372222	0.913737766371026
"0696001002"	0.0145162767336892	-0.163522403099053	0.192554956566431	0.873035090763071	0.962176787031955
"0451001001"	0.151360453643955	-0.0284874529514	0.33120836023931	0.099043062574299	0.357938235364034
"1924001001"	-0.178413839764605	-0.394686321694935	0.0378586421657246	0.105906133300538	0.372055092593577
"2337001001"	0.0422701407563275	-0.16091347144069	0.245453752953346	0.683457819144547	0.868626814008612
"0102001002"	-0.408376601745995	-0.650372909548161	-0.166380293943829	0.000941318181846544	0.01971019673897
"0046001004"	-0.125586823256214	-0.342545839091239	0.0913721925788111	0.256573962113945	0.574439666695534
"0453001001"	-0.184570530013985	-0.33156181553543	-0.0375792444925414	0.0138534504512046	0.119496901219038
